IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
EWR,Newark Liberty International Airport,Newark,NJ,USA,40.6925,-74.16866
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261
ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
